[MASTER] 03:32:24.791 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<SolutionCounter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<SolutionCounter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 6), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<SolutionCounter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 03:32:27.543 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<SolutionCounter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<SolutionCounter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 6), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<SolutionCounter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 03:32:29.571 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<SolutionCounter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<SolutionCounter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 6), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<SolutionCounter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 03:32:30.609 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<SolutionCounter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<SolutionCounter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 6), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<SolutionCounter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 03:32:30.761 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<SolutionCounter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<SolutionCounter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 6), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<SolutionCounter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 03:32:32.738 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<SolutionCounter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<SolutionCounter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 6), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<SolutionCounter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 03:32:32.750 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<SolutionCounter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<SolutionCounter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 6), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<SolutionCounter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 03:32:33.300 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<SolutionCounter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<SolutionCounter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 6), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<SolutionCounter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 03:32:34.259 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<SolutionCounter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<SolutionCounter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 6), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<SolutionCounter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 03:32:35.883 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<SolutionCounter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<SolutionCounter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 6), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<SolutionCounter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 03:32:36.702 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<SolutionCounter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<SolutionCounter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 6), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<SolutionCounter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 03:32:37.059 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<SolutionCounter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<SolutionCounter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 6), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<SolutionCounter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 03:32:37.415 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<SolutionCounter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<SolutionCounter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 6), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<SolutionCounter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 03:32:37.846 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<SolutionCounter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<SolutionCounter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 6), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<SolutionCounter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 03:32:38.559 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<SolutionCounter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<SolutionCounter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 6), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<SolutionCounter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 03:32:39.190 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<SolutionCounter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<SolutionCounter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 6), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<SolutionCounter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 03:32:39.715 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<SolutionCounter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<SolutionCounter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 6), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<SolutionCounter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 03:32:40.587 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<SolutionCounter>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<SolutionCounter>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 6), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<SolutionCounter>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
