[MASTER] 23:44:25.838 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<MinOneDecorator>[] negationDecoratorArray0 = (NegationDecorator<MinOneDecorator>[]) Array.newInstance(NegationDecorator.class, 9), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<MinOneDecorator>) negationDecoratorArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 23:44:26.076 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<MinOneDecorator>[] negationDecoratorArray0 = (NegationDecorator<MinOneDecorator>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<MinOneDecorator>) negationDecoratorArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 23:44:27.769 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<MinOneDecorator>[] negationDecoratorArray0 = (NegationDecorator<MinOneDecorator>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<MinOneDecorator>) negationDecoratorArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 23:44:28.331 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<MinOneDecorator>[] negationDecoratorArray0 = (NegationDecorator<MinOneDecorator>[]) Array.newInstance(NegationDecorator.class, 9), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<MinOneDecorator>) negationDecoratorArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 23:44:30.044 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<MinOneDecorator>[] negationDecoratorArray0 = (NegationDecorator<MinOneDecorator>[]) Array.newInstance(NegationDecorator.class, 9), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<MinOneDecorator>) negationDecoratorArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 23:44:30.560 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<MinOneDecorator>[] negationDecoratorArray0 = (NegationDecorator<MinOneDecorator>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<MinOneDecorator>) negationDecoratorArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 23:44:30.763 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<MinOneDecorator>[] negationDecoratorArray0 = (NegationDecorator<MinOneDecorator>[]) Array.newInstance(NegationDecorator.class, 9), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<MinOneDecorator>) negationDecoratorArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 23:44:31.726 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<MinOneDecorator>[] negationDecoratorArray0 = (NegationDecorator<MinOneDecorator>[]) Array.newInstance(NegationDecorator.class, 9), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<MinOneDecorator>) negationDecoratorArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 23:44:32.167 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<MinOneDecorator>[] negationDecoratorArray0 = (NegationDecorator<MinOneDecorator>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<MinOneDecorator>) negationDecoratorArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 23:44:32.455 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<MinOneDecorator>[] negationDecoratorArray0 = (NegationDecorator<MinOneDecorator>[]) Array.newInstance(NegationDecorator.class, 9), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<MinOneDecorator>) negationDecoratorArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 23:44:32.801 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<MinOneDecorator>[] negationDecoratorArray0 = (NegationDecorator<MinOneDecorator>[]) Array.newInstance(NegationDecorator.class, 9), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<MinOneDecorator>) negationDecoratorArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 23:44:34.263 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<MinOneDecorator>[] negationDecoratorArray0 = (NegationDecorator<MinOneDecorator>[]) Array.newInstance(NegationDecorator.class, 9), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<MinOneDecorator>) negationDecoratorArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 23:44:34.787 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<MinOneDecorator>[] negationDecoratorArray0 = (NegationDecorator<MinOneDecorator>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<MinOneDecorator>) negationDecoratorArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 23:44:35.185 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<MinOneDecorator>[] negationDecoratorArray0 = (NegationDecorator<MinOneDecorator>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<MinOneDecorator>) negationDecoratorArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 23:44:35.376 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<MinOneDecorator>[] negationDecoratorArray0 = (NegationDecorator<MinOneDecorator>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<MinOneDecorator>) negationDecoratorArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 23:44:35.397 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<MinOneDecorator>[] negationDecoratorArray0 = (NegationDecorator<MinOneDecorator>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<MinOneDecorator>) negationDecoratorArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 23:44:35.637 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<MinOneDecorator>[] negationDecoratorArray0 = (NegationDecorator<MinOneDecorator>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<MinOneDecorator>) negationDecoratorArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 23:44:36.789 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<MinOneDecorator>[] negationDecoratorArray0 = (NegationDecorator<MinOneDecorator>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<MinOneDecorator>) negationDecoratorArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 23:44:37.374 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<MinOneDecorator>[] negationDecoratorArray0 = (NegationDecorator<MinOneDecorator>[]) Array.newInstance(NegationDecorator.class, 9), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<MinOneDecorator>) negationDecoratorArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 23:44:38.335 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<MinOneDecorator>[] negationDecoratorArray0 = (NegationDecorator<MinOneDecorator>[]) Array.newInstance(NegationDecorator.class, 9), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<MinOneDecorator>) negationDecoratorArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 23:44:39.031 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<MinOneDecorator>[] negationDecoratorArray0 = (NegationDecorator<MinOneDecorator>[]) Array.newInstance(NegationDecorator.class, 9), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<MinOneDecorator>) negationDecoratorArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 23:44:39.258 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<MinOneDecorator>[] negationDecoratorArray0 = (NegationDecorator<MinOneDecorator>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<MinOneDecorator>) negationDecoratorArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 23:44:39.333 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<MinOneDecorator>[] negationDecoratorArray0 = (NegationDecorator<MinOneDecorator>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<MinOneDecorator>) negationDecoratorArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 23:44:40.405 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<MinOneDecorator>[] negationDecoratorArray0 = (NegationDecorator<MinOneDecorator>[]) Array.newInstance(NegationDecorator.class, 9), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<MinOneDecorator>) negationDecoratorArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 23:44:41.385 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<MinOneDecorator>[] negationDecoratorArray0 = (NegationDecorator<MinOneDecorator>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<MinOneDecorator>) negationDecoratorArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 23:44:42.315 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<MinOneDecorator>[] negationDecoratorArray0 = (NegationDecorator<MinOneDecorator>[]) Array.newInstance(NegationDecorator.class, 9), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<MinOneDecorator>) negationDecoratorArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 23:44:44.353 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<MinOneDecorator>[] negationDecoratorArray0 = (NegationDecorator<MinOneDecorator>[]) Array.newInstance(NegationDecorator.class, 9), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<MinOneDecorator>) negationDecoratorArray0; SUT=org.sat4j.tools.Backbone
[MASTER] 23:44:44.779 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<MinOneDecorator>[] negationDecoratorArray0 = (NegationDecorator<MinOneDecorator>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<MinOneDecorator>) negationDecoratorArray0; SUT=org.sat4j.tools.Backbone
