[MASTER] 01:44:26.696 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 9), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:28.635 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:29.231 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 9), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:30.638 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 4), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:30.641 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:30.674 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 9), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:30.801 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:32.522 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:33.346 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:33.404 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 9), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:34.230 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 4), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:34.331 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 9), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:35.572 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:36.732 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 9), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:37.117 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:37.222 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 4), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:37.675 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 9), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:37.710 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:37.957 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:38.438 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:38.675 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:38.793 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
