[MASTER] 17:50:24.077 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<AbstractMinimalModel>[] negationDecoratorArray0 = (NegationDecorator<AbstractMinimalModel>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<AbstractMinimalModel>) negationDecoratorArray0; SUT=org.sat4j.opt.AbstractSelectorVariablesDecorator
[MASTER] 17:50:25.599 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<Minimal4InclusionModel>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<Minimal4InclusionModel>[]) Array.newInstance(GroupClauseSelectorSolver.class, 5), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<Minimal4InclusionModel>) groupClauseSelectorSolverArray0; SUT=org.sat4j.opt.AbstractSelectorVariablesDecorator
[MASTER] 17:50:34.043 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<AbstractMinimalModel>[] negationDecoratorArray0 = (NegationDecorator<AbstractMinimalModel>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<AbstractMinimalModel>) negationDecoratorArray0; SUT=org.sat4j.opt.AbstractSelectorVariablesDecorator
[MASTER] 17:50:34.746 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<AbstractMinimalModel>[] negationDecoratorArray0 = (NegationDecorator<AbstractMinimalModel>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<AbstractMinimalModel>) negationDecoratorArray0; SUT=org.sat4j.opt.AbstractSelectorVariablesDecorator
[MASTER] 17:50:34.795 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<Minimal4InclusionModel>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<Minimal4InclusionModel>[]) Array.newInstance(GroupClauseSelectorSolver.class, 5), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<Minimal4InclusionModel>) groupClauseSelectorSolverArray0; SUT=org.sat4j.opt.AbstractSelectorVariablesDecorator
[MASTER] 17:50:35.848 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<Minimal4InclusionModel>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<Minimal4InclusionModel>[]) Array.newInstance(GroupClauseSelectorSolver.class, 5), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<Minimal4InclusionModel>) groupClauseSelectorSolverArray0; SUT=org.sat4j.opt.AbstractSelectorVariablesDecorator
[MASTER] 17:50:41.756 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<Minimal4InclusionModel>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<Minimal4InclusionModel>[]) Array.newInstance(GroupClauseSelectorSolver.class, 5), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<Minimal4InclusionModel>) groupClauseSelectorSolverArray0; SUT=org.sat4j.opt.AbstractSelectorVariablesDecorator
[MASTER] 17:50:42.803 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<GateTranslator>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<GateTranslator>[]) Array.newInstance(FullClauseSelectorSolver.class, 4), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<GateTranslator>) fullClauseSelectorSolverArray0; SUT=org.sat4j.opt.AbstractSelectorVariablesDecorator
[MASTER] 17:50:47.631 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<Minimal4InclusionModel>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<Minimal4InclusionModel>[]) Array.newInstance(GroupClauseSelectorSolver.class, 5), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<Minimal4InclusionModel>) groupClauseSelectorSolverArray0; SUT=org.sat4j.opt.AbstractSelectorVariablesDecorator
[MASTER] 17:50:47.892 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<AbstractMinimalModel>[] negationDecoratorArray0 = (NegationDecorator<AbstractMinimalModel>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<AbstractMinimalModel>) negationDecoratorArray0; SUT=org.sat4j.opt.AbstractSelectorVariablesDecorator
