execution_idx,application,class,clone_seed_p,LineCoverage_value,LineCoverage_evaluations,BranchCoverage_value,BranchCoverage_evaluations,ExceptionCoverage_value,ExceptionCoverage_evaluations,WeakMutation_value,WeakMutation_evaluations,OutputCoverage_value,OutputCoverage_evaluations,MethodCoverage_value,MethodCoverage_evaluations,CBranch_value,CBranch_evaluations,current_fitness_evaluations
1,2_a4j,net.kencochrane.a4j.A4j,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0.5 ,"[0.5 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.Features,1.0,1.0 ,"[1.0 ,0]",0.9375 ,"[0.9375 ,0]",1.0 ,"[1.0 ,0]",0.9148936170212766 ,"[0.8936170212765957 ,0][0.9148936170212766 ,0]",0.6 ,"[0.6 ,0]",1.0 ,"[1.0 ,0]",0.9375 ,"[0.9375 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.Lists,1.0,1.0 ,"[1.0 ,0]",0.9375 ,"[0.9375 ,0]",1.0 ,"[1.0 ,0]",0.9148936170212766 ,"[0.9148936170212766 ,0]",0.6 ,"[0.6 ,0]",1.0 ,"[1.0 ,0]",0.9375 ,"[0.9375 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.SellerFeedback,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0.9166666666666666 ,"[0.9166666666666666 ,0]",0.6666666666666666 ,"[0.4166666666666667 ,0][0.6666666666666666 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.Item,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0.8787878787878788 ,"[0.7878787878787878 ,0][0.8484848484848485 ,0][0.8787878787878788 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.ProductLine,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0.6363636363636364 ,"[0.5454545454545454 ,0][0.6363636363636364 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.MiniProduct,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0.9047619047619048 ,"[0.9047619047619048 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.Platforms,1.0,1.0 ,"[1.0 ,0]",0.9375 ,"[0.9375 ,0]",1.0 ,"[1.0 ,0]",0.9148936170212766 ,"[0.9148936170212766 ,0]",0.6 ,"[0.6 ,0]",1.0 ,"[1.0 ,0]",0.9375 ,"[0.9375 ,0]",
1,1_tullibee,com.ib.client.TickType,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0.3333333333333333 ,"[0.3333333333333333 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.RecentlyViewed,1.0,1.0 ,"[1.0 ,0]",0.8947368421052632 ,"[0.8947368421052632 ,0]",1.0 ,"[1.0 ,0]",0.8846153846153846 ,"[0.8846153846153846 ,0]",0.7272727272727273 ,"[0.7272727272727273 ,0]",1.0 ,"[1.0 ,0]",0.8947368421052632 ,"[0.8947368421052632 ,0]",
