TARGET_CLASS,search_budget,Total_Time,Length,Size,LineCoverage,BranchCoverage,OutputCoverage,WeakMutationScore,Implicit_MethodExceptions,MutationScore
net.sourceforge.squirrel_sql.fw.util.ObjectCache,180,223948,37,10,0.59375,0.5277777777777778,0.5714285714285714,0.09375,3,0.0625
net.sourceforge.squirrel_sql.fw.util.ObjectCacheChangeEvent,180,225560,11,4,1.0,1.0,0.75,1.0,1,1.0
com.eteks.sweethome3d.model.HomePrint,180,222660,128,35,1.0,1.0,0.9722222222222222,1.0,0,0.9032258064516129
com.eteks.sweethome3d.model.AspectRatio,180,191722,5,3,0.25,1.0,0.3333333333333333,1.0,0,1.0
net.sourceforge.squirrel_sql.fw.util.StringUtilities,180,260948,47,42,0.9207920792079208,0.8846153846153846,0.5555555555555556,0.8476394849785408,10,0.4871244635193133
com.eteks.sweethome3d.model.CatalogDoorOrWindow,180,208360,115,19,1.0,1.0,0.8181818181818182,0.8333333333333334,7,0.96875
com.eteks.sweethome3d.model.TexturesCategory,180,211501,121,32,1.0,1.0,0.7241379310344828,0.96,10,0.6
com.eteks.sweethome3d.model.TextStyle,180,209793,50,22,0.868421052631579,0.9230769230769231,0.9090909090909091,0.8518518518518519,0,0.5238095238095238
com.eteks.sweethome3d.model.HomeTexture,180,218280,126,25,1.0,0.9523809523809523,0.9333333333333333,0.9777777777777777,3,0.5217391304347826
com.eteks.sweethome3d.model.FurnitureCatalog,180,205968,59,14,0.9523809523809523,0.9,0.3076923076923077,0.825,4,0.475
com.eteks.sweethome3d.model.SelectionEvent,180,196190,11,4,1.0,1.0,0.5,1.0,1,1.0
com.eteks.sweethome3d.model.CollectionChangeSupport,180,203170,40,8,1.0,1.0,1.0,0.875,4,0.09523809523809523
com.eteks.sweethome3d.model.TexturesCatalog,180,211732,66,15,0.9523809523809523,0.9,0.3076923076923077,0.85,4,0.55
com.eteks.sweethome3d.model.HomeFurnitureGroup,180,217729,13,3,0.31353135313531355,0.20134228187919462,0.007751937984496124,0.06269113149847094,2,0.030534351145038167
com.eteks.sweethome3d.model.ObserverCamera,180,233951,70,29,0.967741935483871,0.9642857142857143,0.7843137254901961,0.9965635738831615,0,0.5120274914089347
com.eteks.sweethome3d.model.FurnitureCategory,180,234568,101,26,1.0,1.0,0.5,0.96,7,0.52
com.eteks.sweethome3d.model.LengthUnit,180,276387,114,64,0.4222222222222222,0.5,0.6818181818181818,0.5569782330345711,0,0.47698209718670076
com.eteks.sweethome3d.model.Level,180,227427,102,40,0.8771929824561403,0.8620689655172413,0.9811320754716981,0.9285714285714286,0,0.4125
com.eteks.sweethome3d.model.Camera,180,252867,145,56,0.8648648648648649,0.8571428571428571,0.9607843137254902,0.976303317535545,2,0.4153225806451613
com.eteks.sweethome3d.model.DimensionLine,180,263698,153,64,0.9553571428571429,0.9767441860465116,0.9305555555555556,0.9983136593591906,0,0.32362459546925565
com.eteks.sweethome3d.model.CatalogPieceOfFurniture,180,300077,375,102,0.9787234042553191,1.0,0.9393939393939394,1.0,10,0.5804878048780487
com.ib.client.ContractDetails,180,24179,2,1,1.0,1.0,1.0,1.0,0,0.02619047619047619
com.eteks.sweethome3d.model.HomeEnvironment,180,330506,361,115,0.8670212765957447,0.9375,0.8632478632478633,0.927461139896373,1,0.40232558139534885
com.eteks.sweethome3d.model.Home,180,366477,372,129,0.6951219512195121,0.5700325732899023,0.3125,0.6508728179551122,27,0.29952830188679247
com.ib.client.Execution,180,29346,16,6,1.0,1.0,1.0,1.0,2,0.4817073170731707
com.ib.client.UnderComp,180,30963,37,10,1.0,1.0,1.0,1.0,0,0.85
com.ib.client.ComboLeg,180,61200,62,18,1.0,1.0,1.0,1.0,1,0.7676767676767676
weka.filters.unsupervised.attribute.Obfuscate,180,201506,11,6,0.20454545454545456,0.24,0.125,0.06779661016949153,2,0.03389830508474576
weka.filters.unsupervised.attribute.TimeSeriesDelta,180,210429,38,10,0.2682926829268293,0.2727272727272727,0.06666666666666667,0.04794520547945205,3,0.0136986301369863
weka.filters.unsupervised.attribute.Standardize,180,211585,20,8,0.14864864864864866,0.1935483870967742,0.09523809523809523,0.18974358974358974,2,0.010256410256410256
com.ib.client.ScannerSubscription,180,92503,168,63,1.0,1.0,1.0,1.0,0,0.9178082191780822
weka.filters.unsupervised.attribute.AddUserFieldsBeanInfo,180,227801,2,1,1.0,1.0,0.42857142857142855,1.0,0,1.0
weka.filters.unsupervised.attribute.PKIDiscretize,180,234799,62,24,0.8688524590163934,0.78125,0.375,0.5486725663716814,2,0.1592920353982301
weka.filters.unsupervised.attribute.AddExpression,180,236969,51,21,0.5862068965517241,0.6486486486486487,0.2894736842105263,0.6384615384615384,2,0.3533834586466165
weka.filters.unsupervised.attribute.FirstOrder,180,235323,42,16,0.34408602150537637,0.3333333333333333,0.25925925925925924,0.25806451612903225,3,0.13548387096774195
weka.filters.unsupervised.attribute.AddCluster,180,250031,91,32,0.5421686746987951,0.5542168674698795,0.37373737373737376,0.42487046632124353,3,0.12371134020618557
weka.filters.unsupervised.attribute.SortLabels,180,252552,105,40,0.7560975609756098,0.7313432835820896,0.3,0.5407407407407407,3,0.2536764705882353
weka.filters.unsupervised.attribute.MergeManyValues,180,223730,46,20,0.4594594594594595,0.42857142857142855,0.28205128205128205,0.3146067415730337,2,0.07734806629834254
weka.filters.unsupervised.attribute.KernelFilter,180,274094,122,40,0.6553398058252428,0.5789473684210527,0.3805970149253731,0.6486486486486487,5,0.234375
org.pdfsam.console.business.dto.commands.AbstractParsedCommand,180,206573,37,14,1.0,1.0,0.4782608695652174,0.8947368421052632,1,0.75
weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant,180,274018,89,29,0.38421052631578945,0.2890625,0.37777777777777777,0.49033816425120774,3,0.2119047619047619
weka.filters.unsupervised.attribute.MakeIndicator,180,274932,67,25,0.5533980582524272,0.6,0.2682926829268293,0.5485714285714286,4,0.25280898876404495
weka.filters.unsupervised.attribute.RenameAttribute,180,288708,108,33,0.9010989010989011,0.9545454545454546,0.3170731707317073,0.9416666666666667,2,0.4112903225806452
weka.filters.unsupervised.attribute.AbstractTimeSeries,180,289617,93,29,0.7303370786516854,0.6551724137931034,0.24489795918367346,0.7555555555555555,4,0.23369565217391305
weka.filters.unsupervised.attribute.Reorder,180,291941,74,25,0.59,0.6792452830188679,0.2727272727272727,0.6513409961685823,2,0.33969465648854963
org.pdfsam.console.business.dto.commands.SlideShowParsedCommand,180,226435,131,31,0.8529411764705882,0.76,0.7444444444444445,0.7777777777777778,1,0.6477272727272727
weka.filters.unsupervised.attribute.Add,180,294740,84,33,0.6912751677852349,0.6666666666666666,0.32,0.802158273381295,6,0.3723404255319149
